group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compare binomial and black scholes,binomial,1000,,,61108707.0,ns,4
compare binomial and black scholes,binomial,1000,,,61069706.0,ns,4
compare binomial and black scholes,binomial,1000,,,61005406.0,ns,4
compare binomial and black scholes,binomial,1000,,,61249809.0,ns,4
compare binomial and black scholes,binomial,1000,,,60998206.0,ns,4
compare binomial and black scholes,binomial,1000,,,60983606.0,ns,4
compare binomial and black scholes,binomial,1000,,,61059007.0,ns,4
compare binomial and black scholes,binomial,1000,,,61041906.0,ns,4
compare binomial and black scholes,binomial,1000,,,61010906.0,ns,4
compare binomial and black scholes,binomial,1000,,,61007106.0,ns,4
compare binomial and black scholes,binomial,1000,,,61010706.0,ns,4
compare binomial and black scholes,binomial,1000,,,61043507.0,ns,4
compare binomial and black scholes,binomial,1000,,,61062606.0,ns,4
compare binomial and black scholes,binomial,1000,,,61017806.0,ns,4
compare binomial and black scholes,binomial,1000,,,61003906.0,ns,4
compare binomial and black scholes,binomial,1000,,,61038007.0,ns,4
compare binomial and black scholes,binomial,1000,,,60988006.0,ns,4
compare binomial and black scholes,binomial,1000,,,60995305.0,ns,4
compare binomial and black scholes,binomial,1000,,,60997306.0,ns,4
compare binomial and black scholes,binomial,1000,,,61029807.0,ns,4
compare binomial and black scholes,binomial,1000,,,61017306.0,ns,4
compare binomial and black scholes,binomial,1000,,,61008406.0,ns,4
compare binomial and black scholes,binomial,1000,,,61008406.0,ns,4
compare binomial and black scholes,binomial,1000,,,61033306.0,ns,4
compare binomial and black scholes,binomial,1000,,,61014206.0,ns,4
compare binomial and black scholes,binomial,1000,,,61010406.0,ns,4
compare binomial and black scholes,binomial,1000,,,60996906.0,ns,4
compare binomial and black scholes,binomial,1000,,,61043207.0,ns,4
compare binomial and black scholes,binomial,1000,,,61020206.0,ns,4
compare binomial and black scholes,binomial,1000,,,61043906.0,ns,4
compare binomial and black scholes,binomial,1000,,,60982106.0,ns,4
compare binomial and black scholes,binomial,1000,,,61004506.0,ns,4
compare binomial and black scholes,binomial,1000,,,61013206.0,ns,4
compare binomial and black scholes,binomial,1000,,,60995106.0,ns,4
compare binomial and black scholes,binomial,1000,,,60981406.0,ns,4
compare binomial and black scholes,binomial,1000,,,61023306.0,ns,4
compare binomial and black scholes,binomial,1000,,,60997206.0,ns,4
compare binomial and black scholes,binomial,1000,,,60989406.0,ns,4
compare binomial and black scholes,binomial,1000,,,60984405.0,ns,4
compare binomial and black scholes,binomial,1000,,,60992106.0,ns,4
compare binomial and black scholes,binomial,1000,,,60982306.0,ns,4
compare binomial and black scholes,binomial,1000,,,60974306.0,ns,4
compare binomial and black scholes,binomial,1000,,,61010906.0,ns,4
compare binomial and black scholes,binomial,1000,,,61034806.0,ns,4
compare binomial and black scholes,binomial,1000,,,61012806.0,ns,4
compare binomial and black scholes,binomial,1000,,,61023306.0,ns,4
compare binomial and black scholes,binomial,1000,,,60965606.0,ns,4
compare binomial and black scholes,binomial,1000,,,61007606.0,ns,4
compare binomial and black scholes,binomial,1000,,,61010806.0,ns,4
compare binomial and black scholes,binomial,1000,,,60977006.0,ns,4
compare binomial and black scholes,binomial,1000,,,61018506.0,ns,4
compare binomial and black scholes,binomial,1000,,,60978506.0,ns,4
compare binomial and black scholes,binomial,1000,,,60990905.0,ns,4
compare binomial and black scholes,binomial,1000,,,61019007.0,ns,4
compare binomial and black scholes,binomial,1000,,,60995105.0,ns,4
compare binomial and black scholes,binomial,1000,,,61044807.0,ns,4
compare binomial and black scholes,binomial,1000,,,61037906.0,ns,4
compare binomial and black scholes,binomial,1000,,,60986906.0,ns,4
compare binomial and black scholes,binomial,1000,,,61007306.0,ns,4
compare binomial and black scholes,binomial,1000,,,61008206.0,ns,4
compare binomial and black scholes,binomial,1000,,,60994006.0,ns,4
compare binomial and black scholes,binomial,1000,,,60992706.0,ns,4
compare binomial and black scholes,binomial,1000,,,61050706.0,ns,4
compare binomial and black scholes,binomial,1000,,,61039807.0,ns,4
compare binomial and black scholes,binomial,1000,,,60996006.0,ns,4
