group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compare binomial and black scholes,binomial,500,,,50695735.0,ns,12
compare binomial and black scholes,binomial,500,,,50726734.0,ns,12
compare binomial and black scholes,binomial,500,,,50749935.0,ns,12
compare binomial and black scholes,binomial,500,,,50734035.0,ns,12
compare binomial and black scholes,binomial,500,,,50699934.0,ns,12
compare binomial and black scholes,binomial,500,,,50705935.0,ns,12
compare binomial and black scholes,binomial,500,,,50684735.0,ns,12
compare binomial and black scholes,binomial,500,,,50689934.0,ns,12
compare binomial and black scholes,binomial,500,,,50663935.0,ns,12
compare binomial and black scholes,binomial,500,,,50702234.0,ns,12
compare binomial and black scholes,binomial,500,,,50661235.0,ns,12
compare binomial and black scholes,binomial,500,,,50714034.0,ns,12
compare binomial and black scholes,binomial,500,,,50689535.0,ns,12
compare binomial and black scholes,binomial,500,,,50666334.0,ns,12
compare binomial and black scholes,binomial,500,,,50694035.0,ns,12
compare binomial and black scholes,binomial,500,,,50697434.0,ns,12
compare binomial and black scholes,binomial,500,,,50670335.0,ns,12
compare binomial and black scholes,binomial,500,,,50686734.0,ns,12
compare binomial and black scholes,binomial,500,,,50709935.0,ns,12
compare binomial and black scholes,binomial,500,,,50667534.0,ns,12
compare binomial and black scholes,binomial,500,,,50657435.0,ns,12
compare binomial and black scholes,binomial,500,,,50678834.0,ns,12
compare binomial and black scholes,binomial,500,,,50671334.0,ns,12
compare binomial and black scholes,binomial,500,,,50707934.0,ns,12
compare binomial and black scholes,binomial,500,,,50723635.0,ns,12
compare binomial and black scholes,binomial,500,,,50733234.0,ns,12
compare binomial and black scholes,binomial,500,,,50715735.0,ns,12
compare binomial and black scholes,binomial,500,,,50759934.0,ns,12
compare binomial and black scholes,binomial,500,,,50698634.0,ns,12
compare binomial and black scholes,binomial,500,,,50713735.0,ns,12
compare binomial and black scholes,binomial,500,,,50709834.0,ns,12
compare binomial and black scholes,binomial,500,,,50704534.0,ns,12
compare binomial and black scholes,binomial,500,,,50681534.0,ns,12
compare binomial and black scholes,binomial,500,,,50705635.0,ns,12
compare binomial and black scholes,binomial,500,,,50706234.0,ns,12
compare binomial and black scholes,binomial,500,,,50716134.0,ns,12
compare binomial and black scholes,binomial,500,,,50763035.0,ns,12
compare binomial and black scholes,binomial,500,,,50712634.0,ns,12
compare binomial and black scholes,binomial,500,,,50700535.0,ns,12
compare binomial and black scholes,binomial,500,,,50716234.0,ns,12
compare binomial and black scholes,binomial,500,,,50773234.0,ns,12
compare binomial and black scholes,binomial,500,,,50698934.0,ns,12
compare binomial and black scholes,binomial,500,,,50745234.0,ns,12
compare binomial and black scholes,binomial,500,,,50722434.0,ns,12
compare binomial and black scholes,binomial,500,,,50699334.0,ns,12
compare binomial and black scholes,binomial,500,,,50704134.0,ns,12
compare binomial and black scholes,binomial,500,,,50718534.0,ns,12
compare binomial and black scholes,binomial,500,,,50685534.0,ns,12
compare binomial and black scholes,binomial,500,,,50679434.0,ns,12
compare binomial and black scholes,binomial,500,,,50675634.0,ns,12
compare binomial and black scholes,binomial,500,,,50692534.0,ns,12
compare binomial and black scholes,binomial,500,,,50689634.0,ns,12
compare binomial and black scholes,binomial,500,,,50675834.0,ns,12
compare binomial and black scholes,binomial,500,,,50644433.0,ns,12
compare binomial and black scholes,binomial,500,,,50681634.0,ns,12
compare binomial and black scholes,binomial,500,,,50720734.0,ns,12
compare binomial and black scholes,binomial,500,,,50679434.0,ns,12
compare binomial and black scholes,binomial,500,,,50639234.0,ns,12
compare binomial and black scholes,binomial,500,,,50666033.0,ns,12
compare binomial and black scholes,binomial,500,,,50688534.0,ns,12
compare binomial and black scholes,binomial,500,,,50698934.0,ns,12
compare binomial and black scholes,binomial,500,,,50675134.0,ns,12
compare binomial and black scholes,binomial,500,,,50676533.0,ns,12
compare binomial and black scholes,binomial,500,,,50696534.0,ns,12
compare binomial and black scholes,binomial,500,,,50696333.0,ns,12
compare binomial and black scholes,binomial,500,,,50664734.0,ns,12
compare binomial and black scholes,binomial,500,,,50664133.0,ns,12
compare binomial and black scholes,binomial,500,,,50702334.0,ns,12
