group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compare binomial and black scholes,black scholes,100,,,987505.0,ns,13556
compare binomial and black scholes,black scholes,100,,,1980410.0,ns,27112
compare binomial and black scholes,black scholes,100,,,2969315.0,ns,40668
compare binomial and black scholes,black scholes,100,,,3957120.0,ns,54224
compare binomial and black scholes,black scholes,100,,,4942124.0,ns,67780
compare binomial and black scholes,black scholes,100,,,5930430.0,ns,81336
compare binomial and black scholes,black scholes,100,,,6920835.0,ns,94892
compare binomial and black scholes,black scholes,100,,,7909839.0,ns,108448
compare binomial and black scholes,black scholes,100,,,8896745.0,ns,122004
compare binomial and black scholes,black scholes,100,,,9891449.0,ns,135560
compare binomial and black scholes,black scholes,100,,,10874455.0,ns,149116
compare binomial and black scholes,black scholes,100,,,11865559.0,ns,162672
compare binomial and black scholes,black scholes,100,,,12861765.0,ns,176228
compare binomial and black scholes,black scholes,100,,,13841569.0,ns,189784
compare binomial and black scholes,black scholes,100,,,14830474.0,ns,203340
compare binomial and black scholes,black scholes,100,,,15819679.0,ns,216896
compare binomial and black scholes,black scholes,100,,,16813385.0,ns,230452
compare binomial and black scholes,black scholes,100,,,17796289.0,ns,244008
compare binomial and black scholes,black scholes,100,,,18828994.0,ns,257564
compare binomial and black scholes,black scholes,100,,,19772499.0,ns,271120
compare binomial and black scholes,black scholes,100,,,20761704.0,ns,284676
compare binomial and black scholes,black scholes,100,,,21755509.0,ns,298232
compare binomial and black scholes,black scholes,100,,,22735314.0,ns,311788
compare binomial and black scholes,black scholes,100,,,23729819.0,ns,325344
compare binomial and black scholes,black scholes,100,,,24732024.0,ns,338900
compare binomial and black scholes,black scholes,100,,,25705828.0,ns,352456
compare binomial and black scholes,black scholes,100,,,26696534.0,ns,366012
compare binomial and black scholes,black scholes,100,,,27683939.0,ns,379568
compare binomial and black scholes,black scholes,100,,,28682143.0,ns,393124
compare binomial and black scholes,black scholes,100,,,29658449.0,ns,406680
compare binomial and black scholes,black scholes,100,,,30655853.0,ns,420236
compare binomial and black scholes,black scholes,100,,,31640759.0,ns,433792
