group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compare binomial and black scholes,black scholes,1000,,,992010.0,ns,13488
compare binomial and black scholes,black scholes,1000,,,1972820.0,ns,26976
compare binomial and black scholes,black scholes,1000,,,2964131.0,ns,40464
compare binomial and black scholes,black scholes,1000,,,3951940.0,ns,53952
compare binomial and black scholes,black scholes,1000,,,4937350.0,ns,67440
compare binomial and black scholes,black scholes,1000,,,5933761.0,ns,80928
compare binomial and black scholes,black scholes,1000,,,6911670.0,ns,94416
compare binomial and black scholes,black scholes,1000,,,7905281.0,ns,107904
compare binomial and black scholes,black scholes,1000,,,8916391.0,ns,121392
compare binomial and black scholes,black scholes,1000,,,9884001.0,ns,134880
compare binomial and black scholes,black scholes,1000,,,10874110.0,ns,148368
compare binomial and black scholes,black scholes,1000,,,11859021.0,ns,161856
compare binomial and black scholes,black scholes,1000,,,12845831.0,ns,175344
compare binomial and black scholes,black scholes,1000,,,13849842.0,ns,188832
compare binomial and black scholes,black scholes,1000,,,14864651.0,ns,202320
compare binomial and black scholes,black scholes,1000,,,15812861.0,ns,215808
compare binomial and black scholes,black scholes,1000,,,16804172.0,ns,229296
compare binomial and black scholes,black scholes,1000,,,17808081.0,ns,242784
compare binomial and black scholes,black scholes,1000,,,18814792.0,ns,256272
compare binomial and black scholes,black scholes,1000,,,19771902.0,ns,269760
compare binomial and black scholes,black scholes,1000,,,20755311.0,ns,283248
compare binomial and black scholes,black scholes,1000,,,21736022.0,ns,296736
compare binomial and black scholes,black scholes,1000,,,22732032.0,ns,310224
compare binomial and black scholes,black scholes,1000,,,23751342.0,ns,323712
compare binomial and black scholes,black scholes,1000,,,24722652.0,ns,337200
compare binomial and black scholes,black scholes,1000,,,25688962.0,ns,350688
compare binomial and black scholes,black scholes,1000,,,26686572.0,ns,364176
compare binomial and black scholes,black scholes,1000,,,27668382.0,ns,377664
compare binomial and black scholes,black scholes,1000,,,28670292.0,ns,391152
compare binomial and black scholes,black scholes,1000,,,29654903.0,ns,404640
compare binomial and black scholes,black scholes,1000,,,30626412.0,ns,418128
compare binomial and black scholes,black scholes,1000,,,31615822.0,ns,431616
compare binomial and black scholes,black scholes,1000,,,32612933.0,ns,445104
compare binomial and black scholes,black scholes,1000,,,33596442.0,ns,458592
compare binomial and black scholes,black scholes,1000,,,34586553.0,ns,472080
compare binomial and black scholes,black scholes,1000,,,35569063.0,ns,485568
compare binomial and black scholes,black scholes,1000,,,36558873.0,ns,499056
compare binomial and black scholes,black scholes,1000,,,37550482.0,ns,512544
compare binomial and black scholes,black scholes,1000,,,38528393.0,ns,526032
compare binomial and black scholes,black scholes,1000,,,39518503.0,ns,539520
compare binomial and black scholes,black scholes,1000,,,40509513.0,ns,553008
compare binomial and black scholes,black scholes,1000,,,41505923.0,ns,566496
compare binomial and black scholes,black scholes,1000,,,42480834.0,ns,579984
compare binomial and black scholes,black scholes,1000,,,43465743.0,ns,593472
compare binomial and black scholes,black scholes,1000,,,44476753.0,ns,606960
compare binomial and black scholes,black scholes,1000,,,45458364.0,ns,620448
compare binomial and black scholes,black scholes,1000,,,46439973.0,ns,633936
compare binomial and black scholes,black scholes,1000,,,47427084.0,ns,647424
compare binomial and black scholes,black scholes,1000,,,48406393.0,ns,660912
compare binomial and black scholes,black scholes,1000,,,49399204.0,ns,674400
compare binomial and black scholes,black scholes,1000,,,50387814.0,ns,687888
compare binomial and black scholes,black scholes,1000,,,51386624.0,ns,701376
compare binomial and black scholes,black scholes,1000,,,52363934.0,ns,714864
compare binomial and black scholes,black scholes,1000,,,53349244.0,ns,728352
compare binomial and black scholes,black scholes,1000,,,54358054.0,ns,741840
compare binomial and black scholes,black scholes,1000,,,55321964.0,ns,755328
compare binomial and black scholes,black scholes,1000,,,56328474.0,ns,768816
compare binomial and black scholes,black scholes,1000,,,57298484.0,ns,782304
compare binomial and black scholes,black scholes,1000,,,58311495.0,ns,795792
compare binomial and black scholes,black scholes,1000,,,59261904.0,ns,809280
compare binomial and black scholes,black scholes,1000,,,60257715.0,ns,822768
compare binomial and black scholes,black scholes,1000,,,61254424.0,ns,836256
compare binomial and black scholes,black scholes,1000,,,62258035.0,ns,849744
compare binomial and black scholes,black scholes,1000,,,63216945.0,ns,863232
compare binomial and black scholes,black scholes,1000,,,64212754.0,ns,876720
compare binomial and black scholes,black scholes,1000,,,65202565.0,ns,890208
compare binomial and black scholes,black scholes,1000,,,66187875.0,ns,903696
compare binomial and black scholes,black scholes,1000,,,67176185.0,ns,917184
compare binomial and black scholes,black scholes,1000,,,68160095.0,ns,930672
compare binomial and black scholes,black scholes,1000,,,69150805.0,ns,944160
compare binomial and black scholes,black scholes,1000,,,70132815.0,ns,957648
compare binomial and black scholes,black scholes,1000,,,71156325.0,ns,971136
compare binomial and black scholes,black scholes,1000,,,72166636.0,ns,984624
compare binomial and black scholes,black scholes,1000,,,73112446.0,ns,998112
compare binomial and black scholes,black scholes,1000,,,74090155.0,ns,1011600
compare binomial and black scholes,black scholes,1000,,,75098066.0,ns,1025088
compare binomial and black scholes,black scholes,1000,,,76080376.0,ns,1038576
compare binomial and black scholes,black scholes,1000,,,77076586.0,ns,1052064
compare binomial and black scholes,black scholes,1000,,,78022495.0,ns,1065552
compare binomial and black scholes,black scholes,1000,,,79033806.0,ns,1079040
compare binomial and black scholes,black scholes,1000,,,80031016.0,ns,1092528
compare binomial and black scholes,black scholes,1000,,,81002426.0,ns,1106016
compare binomial and black scholes,black scholes,1000,,,82015236.0,ns,1119504
compare binomial and black scholes,black scholes,1000,,,82987746.0,ns,1132992
compare binomial and black scholes,black scholes,1000,,,83980056.0,ns,1146480
compare binomial and black scholes,black scholes,1000,,,85000667.0,ns,1159968
compare binomial and black scholes,black scholes,1000,,,85967677.0,ns,1173456
compare binomial and black scholes,black scholes,1000,,,86970986.0,ns,1186944
compare binomial and black scholes,black scholes,1000,,,87930597.0,ns,1200432
compare binomial and black scholes,black scholes,1000,,,88941007.0,ns,1213920
compare binomial and black scholes,black scholes,1000,,,89902716.0,ns,1227408
compare binomial and black scholes,black scholes,1000,,,90910627.0,ns,1240896
compare binomial and black scholes,black scholes,1000,,,91898137.0,ns,1254384
compare binomial and black scholes,black scholes,1000,,,92870147.0,ns,1267872
compare binomial and black scholes,black scholes,1000,,,93862057.0,ns,1281360
compare binomial and black scholes,black scholes,1000,,,94850667.0,ns,1294848
compare binomial and black scholes,black scholes,1000,,,95844578.0,ns,1308336
compare binomial and black scholes,black scholes,1000,,,96810987.0,ns,1321824
compare binomial and black scholes,black scholes,1000,,,97828297.0,ns,1335312
compare binomial and black scholes,black scholes,1000,,,98867508.0,ns,1348800
